Dateandtime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2022-04-17 23:00:00,2.323,2.37,2.31,2.285,2.287,2.338,2.354
2022-04-18 01:00:00,1.794,1.81,1.761,1.737,1.682,1.731,1.735
2022-04-18 02:00:00,1.62,1.685,1.626,1.611,1.59,1.645,1.673
2022-04-18 03:00:00,1.487,1.54,1.469,1.462,1.467,1.496,1.527
2022-04-18 04:00:00,1.206,1.198,1.152,1.189,1.121,1.124,1.149
2022-04-18 05:00:00,1.365,1.269,1.214,1.191,1.104,1.163,1.221
2022-04-18 06:00:00,1.201,1.209,1.172,1.184,1.126,1.148,1.156
2022-04-18 07:00:00,1.538,1.529,1.469,1.484,1.435,1.497,1.528
2022-04-18 08:00:00,2.211,1.694,1.51,1.429,1.396,1.397,1.418
2022-04-18 09:00:00,1.787,1.526,1.41,1.33,1.319,1.321,1.344
2022-04-18 10:00:00,0.93,0.951,0.903,0.931,0.912,0.937,0.916
2022-04-18 11:00:00,3.645,2.191,1.727,1.557,1.443,1.375,1.372
2022-04-18 12:00:00,3.873,2.363,1.916,1.73,1.634,1.62,1.622
2022-04-18 13:00:00,1.565,1.244,1.089,1.022,0.973,0.963,0.988
2022-04-18 14:00:00,1.408,1.271,1.208,1.154,1.077,1.08,1.114
2022-04-18 15:00:00,0.81,0.681,0.646,0.612,0.574,0.543,0.533
2022-04-18 16:00:00,1.98,1.6,1.493,1.42,1.365,1.422,1.441
2022-04-18 17:00:00,3.818,2.332,1.865,1.666,1.536,1.484,1.525
2022-04-18 18:00:00,2.097,1.47,1.216,1.114,1.03,0.936,0.967
2022-04-18 19:00:00,1.976,2.066,2.006,2.024,2.011,2.124,2.173
2022-04-18 20:00:00,2.033,2.043,1.973,1.955,1.916,2.043,2.073
2022-04-18 21:00:00,1.872,1.573,1.434,1.391,1.343,1.477,1.511
2022-04-18 22:00:00,3.745,2.357,1.917,1.743,1.648,1.751,1.757
2022-04-18 23:00:00,2.599,1.791,1.512,1.397,1.362,1.515,1.552
2022-04-19 00:00:00,2.825,1.94,1.639,1.51,1.448,1.413,1.411
2022-04-19 01:00:00,1.675,1.564,1.457,1.42,1.369,1.404,1.415
2022-04-19 02:00:00,1.885,1.845,1.778,1.738,1.749,1.884,1.926
2022-04-19 03:00:00,1.45,1.442,1.359,1.339,1.361,1.475,1.493
2022-04-19 04:00:00,1.243,1.198,1.139,1.137,1.14,1.235,1.254
